Farm,Subdirectory,File,Day,Latitude,Longitude
Hank,P3,DJI_20231012095724_0011_D.JPG,20231012,44.85898202777778,-90.05605238888889
Hank,P4,DJI_20231012101940_0019_D.JPG,20231012,44.86125547222223,-90.05674680555555
Hank,P5,DJI_20231012101856_0014_D.JPG,20231012,44.86086091666667,-90.05674583333332
Hank,P6,DJI_20231012101821_0010_D.JPG,20231012,44.860545944444446,-90.05674608333334
Hank,P7,DJI_20231012101737_0005_D.JPG,20231012,44.86015016666667,-90.05674633333334
Hank,P8,DJI_20231012101703_0001_D.JPG,20231012,44.85983733333333,-90.05675063888889
Jason,P1,DJI_20231010103601_0001_D.JPG,20231010,44.736891,-90.09993847222222
Jason,P2,DJI_20231010103653_0007_D.JPG,20231010,44.73688255555555,-90.10060208333331
Jason,P3,DJI_20231010103745_0013_D.JPG,20231010,44.736875222222224,-90.10126538888888
Jason,P4,DJI_20231010104326_0052_D.JPG,20231010,44.73640261111111,-90.1013118611111
Jason,P5,DJI_20231010105211_0112_D.JPG,20231010,44.735933083333336,-90.10126405555556
Jason,P6,DJI_20231010105118_0106_D.JPG,20231010,44.73594122222222,-90.100599
Jason,P7,DJI_20231010104419_0058_D.JPG,20231010,44.73640913888889,-90.10064694444443
Jason,P8,DJI_20231010104511_0064_D.JPG,20231010,44.73641880555556,-90.09998180555556
Jason,P9,DJI_20231010105035_0101_D.JPG,20231010,44.73594825,-90.100046
jimmy,P1,DJI_20231009104153_0003_D.JPG,20231009,44.87122275,-90.1540772777778
jimmy,P2,DJI_20231009104237_0008_D.JPG,20231009,44.87082561111111,-90.15405852777778
jimmy,P3,DJI_20231009104329_0014_D.JPG,20231009,44.87035016666667,-90.15403366666668
jimmy,P4,DJI_20231009104902_0052_D.JPG,20231009,44.87028788888889,-90.15336444444443
jimmy,P5,DJI_20231009105804_0114_D.JPG,20231009,44.87030922222223,-90.15270111111111
jimmy,P6,DJI_20231009105711_0108_D.JPG,20231009,44.870789333333335,-90.152725
jimmy,P7,DJI_20231009104954_0058_D.JPG,20231009,44.870758333333335,-90.15338808333334
jimmy,P8,DJI_20231009105047_0064_D.JPG,20231009,44.87123277777778,-90.1534101388889
jimmy,P9,DJI_20231009105619_0102_D.JPG,20231009,44.87126222222222,-90.1527480277778
Mars,P1,DJI_20230928171447_0002_D.JPG,20230928,44.76174669444445,-90.10894080555556
Mars,P2,DJI_20230928171939_0032_D.JPG,20230928,44.76171711111111,-90.10844841666666
Mars,P3,DJI_20230928172900_0089_D.JPG,20230928,44.761743,-90.10769252777776
Mars,P4,DJI_20230928172811_0084_D.JPG,20230928,44.76218702777778,-90.10769372222222
Mars,P5,DJI_20230928172721_0079_D.JPG,20230928,44.76262847222223,-90.10769488888889
Mars,P6,DJI_20230928172127_0043_D.JPG,20230928,44.76269469444444,-90.1084463611111
Mars,P7,DJI_20230928172028_0037_D.JPG,20230928,44.76216330555555,-90.10844666666668
Mars,P9,DJI_20230928171632_0013_D.JPG,20230928,44.76268983333333,-90.10894322222222
mike,P1,DJI_20231014111706_0003_D.JPG,20231014,44.92957258333333,-90.17742613888888
mike,P2,DJI_20231014111749_0008_D.JPG,20231014,44.92957361111111,-90.17687086111113
mike,P3,DJI_20231014111842_0014_D.JPG,20231014,44.92957619444445,-90.1762055
mike,P4,DJI_20231014112348_0049_D.JPG,20231014,44.92910244444444,-90.17616602777778
mike,P5,DJI_20231014113224_0108_D.JPG,20231014,44.92863197222222,-90.17621802777778
mike,P6,DJI_20231014113131_0102_D.JPG,20231014,44.928629888888885,-90.17688355555556
mike,P7,DJI_20231014112440_0055_D.JPG,20231014,44.92910233333333,-90.17683347222224
mike,P8,DJI_20231014112533_0061_D.JPG,20231014,44.92910344444444,-90.17750330555556
mike,P9,DJI_20231014113047_0097_D.JPG,20231014,44.92863175,-90.17743958333334
Peter,P1,DJI_20231003105234_0003_D.JPG,20231003,44.93664891666666,-90.15199730555555
Peter,P2,DJI_20231003105326_0009_D.JPG,20231003,44.93617288888888,-90.15200977777778
Peter,P3,DJI_20231003105419_0015_D.JPG,20231003,44.93573319444444,-90.15195786111111
Peter,P5,DJI_20231003110708_0103_D.JPG,20231003,44.935815777777776,-90.15069636111112
Peter,P6,DJI_20231003110616_0097_D.JPG,20231003,44.93628744444444,-90.15068427777778
Peter,P7,DJI_20231003105942_0052_D.JPG,20231003,44.93621830555555,-90.1513556388889
Peter,P8,DJI_20231003110035_0058_D.JPG,20231003,44.936686888888886,-90.15134069444446
Peter,P9,DJI_20231003110532_0092_D.JPG,20231003,44.93668233333333,-90.1506745
Sthefanie,P1,DJI_20230929111015_0040_D.JPG,20230929,44.49102308333333,-90.18358866666668
Sthefanie,P2,DJI_20230929111059_0045_D.JPG,20230929,44.49141580555556,-90.18358766666668
Sthefanie,P3,DJI_20230929111200_0052_D.JPG,20230929,44.4919755,-90.18359191666669
Sthefanie,P4,DJI_20230929111715_0088_D.JPG,20230929,44.491903055555554,-90.18403486111112
Sthefanie,P5,DJI_20230929112349_0133_D.JPG,20230929,44.49199361111111,-90.18469844444444
Sthefanie,P6,DJI_20230929112450_0140_D.JPG,20230929,44.491442194444446,-90.18469836111112
Sthefanie,P7,DJI_20230929111623_0082_D.JPG,20230929,44.49142533333333,-90.18403586111113
Sthefanie,P8,DJI_20230929111530_0076_D.JPG,20230929,44.49095558333333,-90.18403705555556
Sthefanie,P9,DJI_20230929112542_0146_D.JPG,20230929,44.49097325,-90.18469944444443
